SAMPLE_AREA_COD;SAMPLE_AREA_TYPE;LARGE_REGION;STATE_ACRONYM;STATE_NAME
1101;State_Capital;North;RO;Rondonia
1102;State_Capital;North;RO;Rondonia
1103;State_non_Capital_MetropolitanArea;North;RO;Rondonia
1104;State_non_Capital_MetropolitanArea;North;RO;Rondonia
1105;State_non_Capital_MetropolitanArea;North;RO;Rondonia
1106;State_non_Capital_MetropolitanArea;North;RO;Rondonia
1107;State_non_Capital_MetropolitanArea;North;RO;Rondonia
1108;Rural;North;RO;Rondonia
1109;Rural;North;RO;Rondonia
1110;Rural;North;RO;Rondonia
1111;Rural;North;RO;Rondonia
1201;State_Capital;North;AC;Acre
1202;State_non_Capital_MetropolitanArea;North;AC;Acre
1203;Rural;North;AC;Acre
1204;Rural;North;AC;Acre
1301;State_Capital;North;AM;Amazonas
1302;State_Capital;North;AM;Amazonas
1303;State_Capital;North;AM;Amazonas
1304;State_Capital;North;AM;Amazonas
1305;State_Capital;North;AM;Amazonas
1306;State_Capital;North;AM;Amazonas
1307;State_Capital_MetropolitanArea;North;AM;Amazonas
1308;State_non_Capital_MetropolitanArea;North;AM;Amazonas
1309;State_non_Capital_MetropolitanArea;North;AM;Amazonas
1310;State_non_Capital_MetropolitanArea;North;AM;Amazonas
1311;Rural;North;AM;Amazonas
1312;Rural;North;AM;Amazonas
1313;Rural;North;AM;Amazonas
1314;Rural;North;AM;Amazonas
1315;Rural;North;AM;Amazonas
1316;Rural;North;AM;Amazonas
1401;State_Capital;North;RR;Roraima
1402;State_Capital;North;RR;Roraima
1403;State_non_Capital_MetropolitanArea;North;RR;Roraima
1404;Rural;North;RR;Roraima
1405;Rural;North;RR;Roraima
1501;State_Capital;North;PA;Para
1502;State_Capital;North;PA;Para
1503;State_Capital;North;PA;Para
1504;State_Capital_MetropolitanArea;North;PA;Para
1505;State_Capital_MetropolitanArea;North;PA;Para
1506;State_non_Capital_MetropolitanArea;North;PA;Para
1507;State_non_Capital_MetropolitanArea;North;PA;Para
1508;State_non_Capital_MetropolitanArea;North;PA;Para
1509;State_non_Capital_MetropolitanArea;North;PA;Para
1510;State_non_Capital_MetropolitanArea;North;PA;Para
1511;State_non_Capital_MetropolitanArea;North;PA;Para
1512;Rural;North;PA;Para
1513;Rural;North;PA;Para
1514;Rural;North;PA;Para
1515;Rural;North;PA;Para
1516;Rural;North;PA;Para
1517;Rural;North;PA;Para
1518;Rural;North;PA;Para
1519;Rural;North;PA;Para
1601;State_Capital;North;AP;Amapa
1602;State_Capital;North;AP;Amapa
